tol,se_ff,se_ho,se_sw,se_hs,es_ff,es_ho,es_sw,es_hs
0,0.9652916073968706,0.678827564702214,0.937507734191313,0.7164736645498693,0.8680550390479732,0.9748108925869894,0.997867803837953,0.9781977825731081
1,0.990896159317212,0.7564702213907079,0.9894814998143794,0.7762420620097124,0.9005763688760807,0.9965451337841811,0.9998748122183275,0.9950622584800344
2,0.9985775248933144,0.8306828811973808,0.9946788763766861,0.826298094882331,0.9275299863535158,0.9975351602145861,1.0,0.9990861159929701
3,0.9997155049786629,0.8942937324602432,0.9962875881697809,0.8726186029137094,0.9511337543053962,0.9984915960350524,1.0,0.9993768176152887
4,1.0,0.943560960399127,0.9976488058408612,0.9144564811355995,0.9705312970531297,0.9992874955468471,1.0,0.9994524673191431
5,1.0,0.9700654817586529,0.998391288206905,0.9480762047067613,0.9830860746792804,0.999716814159292,1.0,0.9994558563460754
