tol,se_ff,se_ho,se_sw,se_hs,es_ff,es_ho,es_sw,es_hs
0,0.9302325581395349,0.8228908188585607,0.9051383399209486,0.7734724292101341,0.9117513611615246,0.9523952545427241,0.9991267465069861,0.9717866041330793
1,0.9580260918888258,0.8973325062034739,0.9594861660079052,0.8304769001490313,0.9429407461594733,0.976491202453092,0.9998823667803788,0.9888012396112128
2,0.9767441860465116,0.9494416873449132,0.9840662055335968,0.8777943368107303,0.9649603460706561,0.9903604057262068,1.0,0.9943658100865741
3,0.9878048780487805,0.9739454094292804,0.991106719367589,0.9169150521609538,0.9783155022617936,0.9945884363429223,1.0,0.997004969028657
4,0.9923425978445831,0.9851116625310173,0.9951828063241107,0.9463487332339792,0.9866045845272207,0.9969587665322865,1.0,0.9981029810298103
5,0.9951786727169597,0.9903846153846154,0.9975296442687747,0.9672131147540983,0.9918449102224766,0.9983807378203323,1.0,0.9987159559370142
