tol,se_ff,se_ho,se_sw,se_hs,es_ff,es_ho,es_sw,es_hs
0,0.9940357852882704,0.7642679900744417,0.9623270750988142,0.5312965722801788,0.8731499476752878,0.9905748558965571,0.9579984443868291,0.9855269757111127
1,0.9985799488781596,0.8703473945409429,0.9880187747035574,0.6352459016393442,0.909752018035052,0.9978864734299517,0.9805765941851943,0.9950667037242913
2,0.9991479693268958,0.9258684863523573,0.9950592885375494,0.7075260804769001,0.9339588596174666,0.9989619633721362,0.9868451961475218,0.9982173465889612
3,0.9991479693268958,0.957196029776675,0.998147233201581,0.7708643815201193,0.951203736974488,0.9995612110574813,0.9912,0.9993875051041241
4,0.9991479693268958,0.9736352357320099,0.9996294466403162,0.8282414307004471,0.9641014617368874,0.9997831899978319,0.9946236559139785,1.0
5,0.9991479693268958,0.9851116625310173,0.9998764822134387,0.879284649776453,0.9748265751269398,0.9999284385286962,0.9974661231684477,1.0
